epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
78;0.26168276062830276;0.90818065;0.6976148926291226;0.9097059038785984;0.6220432813286362;0.91572624;0.8086957;0.98440206;0.42123803;0.8798883;0.5306329918455691;0.8554354340509889;0.290879878194102;0.517162471395881;0.9013048;0.6051502;0.9669778;0.3233945
79;0.2631501663724205;0.9074995;0.6974158026477667;0.9102504668560548;0.6170105686965274;0.9130593;0.82794577;0.9870017;0.39959738;0.88547486;0.5408247433743502;0.8584345383536292;0.2925701330974929;0.5170842824601367;0.90323657;0.6488889;0.9716439;0.33486238
80;0.2609982413775378;0.9100879;0.6982092720831817;0.9102848997449865;0.61852038248616;0.921509;0.7804878;0.9794391;0.46703574;0.88019866;0.5341768174932083;0.8572704610865599;0.2908992778988524;0.5137614678899083;0.9070556;0.5912409;0.959799;0.37155962
81;0.2588954361884016;0.9080444;0.6961647201502351;0.9101770219202507;0.6205334675390035;0.9154094;0.8101266;0.9846384;0.4187217;0.88392305;0.5437533916668484;0.8587449040747644;0.29164426116831255;0.5217391304347826;0.9041555;0.6302521;0.9684135;0.3440367
82;0.26320572817092547;0.90961105;0.6994700733722277;0.9110374278564568;0.6204819277108434;0.9202218;0.78546715;0.9804632;0.4569703;0.88175046;0.5404804359239485;0.856349242938151;0.2923983077268324;0.5229357798165137;0.9069374;0.60299623;0.9619526;0.36926606
83;0.2614984731207828;0.90606904;0.6982523324277042;0.91087816831145;0.6244979919678715;0.9118439;0.8220339;0.9867654;0.3905385;0.8857852;0.5453937852463361;0.8581752142099753;0.29342660313665236;0.5239179954441914;0.90380764;0.64912283;0.971285;0.33944955
84;0.2599054014739204;0.910156;0.7062602431191032;0.9127631558811176;0.6255661801711122;0.91989666;0.7940141;0.9815661;0.45395067;0.8845438;0.54014586240095;0.8577224260226427;0.2886148452374929;0.5137614678899083;0.9077703;0.6221374;0.9644652;0.3738532
85;0.2615115455024497;0.9089299;0.7022141182778101;0.9117954271696228;0.6240563663814797;0.9177518;0.7987132;0.98274773;0.43734273;0.88392305;0.5346748876301348;0.8537856385465993;0.2896316779244397;0.5045871559633027;0.9063342;0.62204725;0.965542;0.36238533
86;0.2627028067949666;0.91090524;0.7024484497236554;0.9121374565683719;0.6240563663814797;0.9218912;0.78601515;0.97999054;0.4695521;0.8808194;0.5296565581009406;0.8502884672378932;0.29771664206107384;0.517162471395881;0.9082257;0.5928571;0.9590811;0.38073394
87;0.2623866259002221;0.9025271;0.6966938919195912;0.9117238654373009;0.6228114057028514;0.9044165;0.8677249;0.99212223;0.33014596;0.8857852;0.5389927523302682;0.8574038277890106;0.2884044916866767;0.5229357798165137;0.896914;0.6931818;0.98061734;0.2798165
88;0.2616744195970988;0.9087937;0.7009678022311434;0.9123495647500466;0.6200301962757927;0.91669726;0.8068182;0.9839294;0.4287871;0.8845438;0.5386584690498268;0.8550958429104896;0.29027252420690547;0.518348623853211;0.90667117;0.62598425;0.96590096;0.3646789
89;0.2601270710458329;0.9064096;0.7033754151804247;0.9131906628947621;0.6210367388022144;0.90931445;0.85932004;0.9905467;0.36889783;0.88702667;0.544049498882995;0.8552230352285675;0.2875823765035781;0.5229357798165137;0.9001983;0.68367344;0.9777459;0.30733946
90;0.26061515154858905;0.9074995;0.6970872326542892;0.9118566213711957;0.6206030150753769;0.91396433;0.817998;0.98582006;0.40714645;0.88640594;0.5419090085262791;0.8558075436158512;0.29032639731334503;0.5091743119266054;0.9046823;0.6508621;0.97092605;0.34633029
91;0.2599115860747098;0.908998;0.7015087866163305;0.9122515588761961;0.6250629089079014;0.92085373;0.7742207;0.9788877;0.4625063;0.88175046;0.5350077082236391;0.852665193595764;0.2928103937158704;0.509090909090909;0.90915275;0.59717315;0.9590811;0.38761467
